SourceFile,FG BOM,SemiBOM,SourceRow,Path,StoneSKU,StoneType,ProductName,LineQty,PathMultiplier,EffectiveStoneCount,LineWeightGram,UnitStoneWeightGram,EffectiveWeightGram
F_BOMLevelTable_639247799493651840.xlsx,1012020002030105,2GD012020002030105Z,14,2GD012020002030105Z > 3080965,3080965,Artificial stone,SA-CR-18 :,1.0,1.0,1.0,0.73,0.73,0.73
F_BOMLevelTable_639247799493651840.xlsx,1012020002030105,2GD012020002030105Z,15,2GD012020002030105Z > 3080419,3080419,Artificial stone,CZ-40 :Whi,1.0,1.0,1.0,0.018,0.018,0.018
F_BOMLevelTable_639247799493651840.xlsx,1012020002030205,2GD012020002030205Z,22,2GD012020002030205Z > 3040050,3040050,Pearl,WH-MP-02 :,1.0,1.0,1.0,0.717,0.717,0.717
F_BOMLevelTable_639247799493651840.xlsx,1012020002030205,2GD012020002030205Z,23,2GD012020002030205Z > 3080419,3080419,Artificial stone,CZ-40 :Whi,1.0,1.0,1.0,0.018,0.018,0.018
F_BOMLevelTable_639247799493651840.xlsx,1012020026010209,2GC012020026010209Z,46,2GC012020026010209Z > 2DB012020026010209Z > 2VD012020026010209Z > 3050239,3050239,Diamond,F-G/VS2BC1,2.0,1.0,2.0,0.0106,0.0053,0.0106
F_BOMLevelTable_639247799493651840.xlsx,1012020026010209,2GC012020026010209Z,47,2GC012020026010209Z > 2DB012020026010209Z > 2VD012020026010209Z > 3050243,3050243,Diamond,F-G/VS2BC2,2.0,1.0,2.0,0.0168,0.0084,0.0168
F_BOMLevelTable_639247799493651840.xlsx,1012020026010209,2GC012020026010209Z,48,2GC012020026010209Z > 2DB012020026010209Z > 2VD012020026010209Z > 3050247,3050247,Diamond,F-G/VS2BC2,1.0,1.0,1.0,0.02,0.02,0.02
F_BOMLevelTable_639247799493651840.xlsx,1012020026010209,2DB012020026010209Z,46,2DB012020026010209Z > 2VD012020026010209Z > 3050239,3050239,Diamond,F-G/VS2BC1,2.0,1.0,2.0,0.0106,0.0053,0.0106
F_BOMLevelTable_639247799493651840.xlsx,1012020026010209,2DB012020026010209Z,47,2DB012020026010209Z > 2VD012020026010209Z > 3050243,3050243,Diamond,F-G/VS2BC2,2.0,1.0,2.0,0.0168,0.0084,0.0168
F_BOMLevelTable_639247799493651840.xlsx,1012020026010209,2DB012020026010209Z,48,2DB012020026010209Z > 2VD012020026010209Z > 3050247,3050247,Diamond,F-G/VS2BC2,1.0,1.0,1.0,0.02,0.02,0.02
