Component item number,StoneType,ProductName,PositiveWeightVariants,KnownUnitWeightGram,SourceRows,MissingWeightRows
3040016,Pearl,GY-PL-32 :,1,0.066,3,0
3040037,Pearl,PE-PL-05 :,1,2.16,2,0
3040042,Pearl,PI-PL-02 :,1,0.201,1,0
3040047,Pearl,RO-PL-09 :,1,1.62,1,0
3040050,Pearl,WH-MP-02 :,1,0.717,1,0
3040056,Pearl,WH-PL-02 :,1,1.005,7,0
3040057,Pearl,WH-PL-03 :,1,1.4,3,0
3040058,Pearl,WH-PL-05 :,1,1.26,4,0
3040059,Pearl,WH-PL-06 :,1,0.177,10,0
3040070,Pearl,WH-PL-18 :,1,0.25,2,0
3040072,Pearl,WH-PL-20:,1,0.005999999999999999,14,0
3040078,Pearl,WH-PL-27 :,1,0.67,6,0
3040079,Pearl,WH-PL-28 :,1,0.01,13,0
3040088,Pearl,WH-PL-37 :,1,0.058,10,0
3040092,Pearl,WH-PL-42 :,1,0.12,7,0
3040094,Pearl,WH-PL-46 :,1,0.304,2,0
3040095,Pearl,WH-PL-48 :,1,0.0025,8,0
3040096,Pearl,WH-PL-49 :,1,0.006,5,0
3040097,Pearl,WH-PL-50 :,1,0.0006,5,0
3040098,Pearl,WH-PL-51 :,1,0.13999999999999999,13,0
3040099,Pearl,WH-PL-52 :,1,0.016,10,0
3040100,Pearl,WH-PL-53 :,1,0.051,3,0
3040101,Pearl,WH-PL-54 :,1,0.002,4,0
3040102,Pearl,WH-PL-55 :,1,0.008,2,0
3040103,Pearl,WH-PL-56 :,1,0.002,7,0
3040104,Pearl,WH-PL-57 :,1,0.005,4,0
3040105,Pearl,WH-PL-58 :,1,0.4,2,0
3040107,Pearl,WH-PL-61 :,1,0.024999999999999998,4,0
3040109,Pearl,WH-PL-63 :,1,0.022,1,0
3040113,Pearl,WH-PL-67 :,1,1.2293,1,0
3040115,Pearl,WH-PL-69 :,1,1.2293,3,0
3040116,Pearl,WH-PL-70 :,1,0.222,4,0
3040121,Pearl,ZZP-BR126R,0,,4,4
3040122,Pearl,ZZP-BR126R,0,,1,1
3040123,Pearl,ZZP-BR126R,0,,1,1
