Process,Branch,Variant,Attribution,ProbabilityBin,Rounds,Pieces,Passed,PredictedPass,ObservedRate,PredictedRate
Bright Cut,First pass,group_only_all,single,"(0.5, 0.6]",4,23.0,19.0,13.748344108527636,0.8260869565217391,0.5977540916751146
Bright Cut,First pass,group_only_all,single,"(0.6, 0.7]",17,85.0,65.0,54.61213185905398,0.7647058823529411,0.6424956689300468
Bright Cut,First pass,group_only_all,single,"(0.7, 0.8]",35,100.0,63.0,75.87488940311871,0.63,0.7587488940311872
Bright Cut,First pass,group_only_all,single,"(0.8, 0.9]",19,147.0,114.0,118.39357800581804,0.7755102040816326,0.8053984898354969
Bright Cut,First pass,group_only_all,team,"(0.7, 0.8]",1,3.0,3.0,2.1584912594353485,1.0,0.7194970864784495
Bright Cut,First pass,group_only_all,unknown,"(0.5, 0.6]",2,12.0,10.0,7.173049100101375,0.8333333333333334,0.5977540916751146
Bright Cut,First pass,group_only_all,unknown,"(0.6, 0.7]",1,10.0,7.0,6.403710528637591,0.7,0.6403710528637591
Bright Cut,First pass,group_only_all,unknown,"(0.7, 0.8]",14,63.0,53.0,46.718881689259646,0.8412698412698413,0.741569550623169
Bright Cut,First pass,group_only_all,unknown,"(0.8, 0.9]",6,50.0,50.0,41.1445337732815,1.0,0.82289067546563
Bright Cut,First pass,legacy_1000,single,"(0.2, 0.3]",1,1.0,0.0,0.276934636284374,0.0,0.276934636284374
Bright Cut,First pass,legacy_1000,single,"(0.3, 0.4]",6,17.0,6.0,6.082542875344034,0.35294117647058826,0.35779663972611964
Bright Cut,First pass,legacy_1000,single,"(0.4, 0.5]",2,2.0,1.0,0.8936526536272432,0.5,0.4468263268136216
Bright Cut,First pass,legacy_1000,single,"(0.5, 0.6]",8,58.0,49.0,32.71035177810764,0.8448275862068966,0.5639715823811663
Bright Cut,First pass,legacy_1000,single,"(0.6, 0.7]",5,24.0,14.0,15.025707457016637,0.5833333333333334,0.6260711440423599
Bright Cut,First pass,legacy_1000,single,"(0.7, 0.8]",29,145.0,123.0,107.1967890262483,0.8482758620689655,0.7392882001810227
Bright Cut,First pass,legacy_1000,single,"(0.8, 0.9]",15,53.0,25.0,44.990748289809616,0.4716981132075472,0.848882043203955
Bright Cut,First pass,legacy_1000,single,"(0.9, 1.0]",9,55.0,43.0,52.14917819008597,0.7818181818181819,0.9481668761833812
Bright Cut,First pass,legacy_1000,team,"(0.6, 0.7]",1,3.0,3.0,1.991984171290245,1.0,0.6639947237634151
Bright Cut,First pass,legacy_1000,unknown,"(0.4, 0.5]",3,3.0,0.0,1.2678845935984964,0.0,0.42262819786616546
Bright Cut,First pass,legacy_1000,unknown,"(0.5, 0.6]",1,10.0,7.0,5.61782909269398,0.7,0.561782909269398
Bright Cut,First pass,legacy_1000,unknown,"(0.6, 0.7]",2,12.0,10.0,7.975682259170587,0.8333333333333334,0.6646401882642156
Bright Cut,First pass,legacy_1000,unknown,"(0.7, 0.8]",9,54.0,48.0,41.47289218217017,0.8888888888888888,0.7680165218920402
Bright Cut,First pass,legacy_1000,unknown,"(0.8, 0.9]",6,48.0,48.0,41.75410334561901,1.0,0.8698771530337294
Bright Cut,First pass,legacy_1000,unknown,"(0.9, 1.0]",2,8.0,7.0,7.3801155316003335,0.875,0.9225144414500417
Bright Cut,First pass,legacy_5000,single,"(0.2, 0.3]",1,1.0,0.0,0.2769377291125641,0.0,0.2769377291125641
Bright Cut,First pass,legacy_5000,single,"(0.3, 0.4]",6,17.0,6.0,6.082602893521833,0.35294117647058826,0.35780017020716665
Bright Cut,First pass,legacy_5000,single,"(0.4, 0.5]",2,2.0,1.0,0.8936602866790617,0.5,0.44683014333953086
Bright Cut,First pass,legacy_5000,single,"(0.5, 0.6]",8,58.0,49.0,32.71057161449734,0.8448275862068966,0.5639753726637472
Bright Cut,First pass,legacy_5000,single,"(0.6, 0.7]",5,24.0,14.0,15.025794060853823,0.5833333333333334,0.626074752535576
Bright Cut,First pass,legacy_5000,single,"(0.7, 0.8]",29,145.0,123.0,107.1972188698759,0.8482758620689655,0.7392911646198338
Bright Cut,First pass,legacy_5000,single,"(0.8, 0.9]",15,53.0,25.0,44.99085294447409,0.4716981132075472,0.8488840178202659
Bright Cut,First pass,legacy_5000,single,"(0.9, 1.0]",9,55.0,43.0,52.149219811703674,0.7818181818181819,0.9481676329400668
Bright Cut,First pass,legacy_5000,team,"(0.6, 0.7]",1,3.0,3.0,1.991994509257017,1.0,0.663998169752339
Bright Cut,First pass,legacy_5000,unknown,"(0.4, 0.5]",3,3.0,0.0,1.2678958960912672,0.0,0.42263196536375575
Bright Cut,First pass,legacy_5000,unknown,"(0.5, 0.6]",1,10.0,7.0,5.61786711690487,0.7,0.561786711690487
Bright Cut,First pass,legacy_5000,unknown,"(0.6, 0.7]",2,12.0,10.0,7.975723571764859,0.8333333333333334,0.6646436309804049
Bright Cut,First pass,legacy_5000,unknown,"(0.7, 0.8]",9,54.0,48.0,41.47304078420114,0.8888888888888888,0.7680192737815026
Bright Cut,First pass,legacy_5000,unknown,"(0.8, 0.9]",6,48.0,48.0,41.754187262192154,1.0,0.8698789012956699
Bright Cut,First pass,legacy_5000,unknown,"(0.9, 1.0]",2,8.0,7.0,7.380124311206506,0.875,0.9225155389008133
Bright Cut,First pass,ridge_expanded_equal_round,single,"(0.1, 0.2]",5,9.0,5.0,1.6746121215537417,0.5555555555555556,0.1860680135059713
Bright Cut,First pass,ridge_expanded_equal_round,single,"(0.2, 0.3]",1,1.0,0.0,0.2001157121993107,0.0,0.2001157121993107
Bright Cut,First pass,ridge_expanded_equal_round,single,"(0.3, 0.4]",3,10.0,2.0,3.2689270467829523,0.2,0.32689270467829523
Bright Cut,First pass,ridge_expanded_equal_round,single,"(0.4, 0.5]",4,8.0,5.0,3.4390424742770023,0.625,0.4298803092846253
Bright Cut,First pass,ridge_expanded_equal_round,single,"(0.5, 0.6]",1,3.0,2.0,1.5319230735941112,0.6666666666666666,0.5106410245313704
Bright Cut,First pass,ridge_expanded_equal_round,single,"(0.6, 0.7]",15,102.0,80.0,64.73559593517905,0.7843137254901961,0.6346627052468534
Bright Cut,First pass,ridge_expanded_equal_round,single,"(0.7, 0.8]",20,94.0,76.0,72.65453120266862,0.8085106382978723,0.7729205447092407
Bright Cut,First pass,ridge_expanded_equal_round,single,"(0.8, 0.9]",20,107.0,77.0,91.00338317549677,0.719626168224299,0.8504989081822127
Bright Cut,First pass,ridge_expanded_equal_round,single,"(0.9, 1.0]",6,21.0,14.0,20.191683690361273,0.6666666666666666,0.9615087471600606
Bright Cut,First pass,ridge_expanded_equal_round,team,"(0.2, 0.3]",1,3.0,3.0,0.7818195215171769,1.0,0.2606065071723923
Bright Cut,First pass,ridge_expanded_equal_round,unknown,"(0.2, 0.3]",1,1.0,0.0,0.2310116346595702,0.0,0.2310116346595702
Bright Cut,First pass,ridge_expanded_equal_round,unknown,"(0.3, 0.4]",2,2.0,0.0,0.6819046427866364,0.0,0.3409523213933182
Bright Cut,First pass,ridge_expanded_equal_round,unknown,"(0.6, 0.7]",1,10.0,7.0,6.914165620809836,0.7,0.6914165620809836
Bright Cut,First pass,ridge_expanded_equal_round,unknown,"(0.7, 0.8]",11,66.0,58.0,50.09226782830534,0.8787878787878788,0.7589737549743233
Bright Cut,First pass,ridge_expanded_equal_round,unknown,"(0.8, 0.9]",5,46.0,46.0,40.963757945345684,1.0,0.8905164770727323
Bright Cut,First pass,ridge_expanded_equal_round,unknown,"(0.9, 1.0]",3,10.0,9.0,9.357047819401423,0.9,0.9357047819401423
Bright Cut,First pass,ridge_expanded_pieces,single,"(0.4, 0.5]",2,6.0,3.0,2.7340610009812423,0.5,0.4556768334968737
Bright Cut,First pass,ridge_expanded_pieces,single,"(0.5, 0.6]",6,15.0,5.0,8.139212335115838,0.3333333333333333,0.5426141556743892
Bright Cut,First pass,ridge_expanded_pieces,single,"(0.6, 0.7]",17,103.0,78.0,66.63929950927947,0.7572815533980582,0.646983490381354
Bright Cut,First pass,ridge_expanded_pieces,single,"(0.7, 0.8]",35,139.0,117.0,105.00605088968382,0.841726618705036,0.7554392150336966
Bright Cut,First pass,ridge_expanded_pieces,single,"(0.8, 0.9]",15,92.0,58.0,75.97772737950254,0.6304347826086957,0.8258448628206798
Bright Cut,First pass,ridge_expanded_pieces,team,"(0.6, 0.7]",1,3.0,3.0,1.8036219049323259,1.0,0.6012073016441086
Bright Cut,First pass,ridge_expanded_pieces,unknown,"(0.6, 0.7]",3,22.0,17.0,15.022588766598016,0.7727272727272727,0.6828449439362735
Bright Cut,First pass,ridge_expanded_pieces,unknown,"(0.7, 0.8]",12,57.0,48.0,44.591913742842166,0.8421052631578947,0.7823142761902134
Bright Cut,First pass,ridge_expanded_pieces,unknown,"(0.8, 0.9]",8,56.0,55.0,47.511660488363106,0.9821428571428571,0.8484225087207697
Bright Cut,First pass,ridge_single_capped,single,"(0.4, 0.5]",2,6.0,3.0,2.7014282281537434,0.5,0.4502380380256239
Bright Cut,First pass,ridge_single_capped,single,"(0.5, 0.6]",6,15.0,5.0,8.074128639692049,0.3333333333333333,0.5382752426461366
Bright Cut,First pass,ridge_single_capped,single,"(0.6, 0.7]",20,112.0,87.0,73.01439596150774,0.7767857142857143,0.6519142496563192
Bright Cut,First pass,ridge_single_capped,single,"(0.7, 0.8]",35,162.0,135.0,122.6052828274467,0.8333333333333334,0.7568227335027574
