Date,single,team,unknown
2026-08-03,101,0,24
2026-08-04,168,0,47
2026-08-05,139,0,65
2026-08-06,152,0,71
2026-08-07,246,1,89
2026-08-08,250,2,102
2026-08-10,326,3,129
2026-08-11,326,4,164
2026-08-12,254,2,169
2026-08-13,342,2,175
2026-08-14,243,1,163
2026-08-18,237,2,152
2026-08-19,285,3,177
2026-08-20,434,5,281
2026-08-21,342,2,239
2026-08-22,305,4,179
2026-08-23,139,2,34
2026-08-24,403,3,275
2026-08-25,456,5,256
2026-08-26,390,3,298
2026-08-27,354,3,246
2026-08-28,329,5,252
2026-08-29,338,1,232
2026-08-30,120,0,56
2026-08-31,287,1,272
2026-09-03,420,0,249
2026-09-04,325,1,246
2026-09-05,332,2,259
2026-09-07,401,5,309
2026-09-08,439,4,300
2026-09-09,273,6,257
2026-09-10,422,3,340
2026-09-11,412,0,467
2026-09-12,146,1,303
2026-09-13,35,0,126
2026-09-14,1,0,621
2026-09-15,0,0,647
2026-09-16,0,0,564
2026-09-18,0,0,758
2026-09-19,0,0,689
2026-09-20,0,0,190
2026-09-21,0,0,702
2026-09-22,0,0,286
