Branch,Variant,status,wos,loss_difference,lower_95,upper_95
First pass,group_only_all,CONDITIONAL_DIAGNOSTIC,1675,0.0009739178620124897,-0.024244808991867057,0.020242899801654536
First pass,legacy_1000,CONDITIONAL_DIAGNOSTIC,1675,0.0,0.0,0.0
First pass,legacy_5000,CONDITIONAL_DIAGNOSTIC,1675,5.397762400885483e-06,2.7318140865036393e-06,7.910693496758814e-06
First pass,ridge_expanded_equal_round,CONDITIONAL_DIAGNOSTIC,1675,0.010668893308480818,-0.02135091645413816,0.03941338717803217
First pass,ridge_expanded_pieces,CONDITIONAL_DIAGNOSTIC,1675,-0.010173002588407448,-0.021900946047365043,-0.00047047254634173324
First pass,ridge_single_capped,CONDITIONAL_DIAGNOSTIC,1675,-0.007752570157802379,-0.03688578037954062,0.01028939221455135
First pass,ridge_single_equal_round,CONDITIONAL_DIAGNOSTIC,1675,0.011154450744337059,-0.02100577417354788,0.03983595063836051
First pass,ridge_single_pieces,CONDITIONAL_DIAGNOSTIC,1675,-0.01015789390128405,-0.021863538728782068,-0.0004181562050292223
Rework,group_only_all,CONDITIONAL_DIAGNOSTIC,263,-0.04564786470888429,-0.1056901688280496,0.02444900351938248
Rework,legacy_1000,CONDITIONAL_DIAGNOSTIC,263,0.0,0.0,0.0
Rework,legacy_5000,CONDITIONAL_DIAGNOSTIC,263,0.00013388634443225656,1.687114638397263e-05,0.0002943966853037448
Rework,ridge_expanded_equal_round,CONDITIONAL_DIAGNOSTIC,263,-0.02524092952549832,-0.05984751984096307,0.007956980654087537
Rework,ridge_expanded_pieces,CONDITIONAL_DIAGNOSTIC,263,-0.017345915570012898,-0.05119429824955522,0.013771759123087049
Rework,ridge_single_capped,CONDITIONAL_DIAGNOSTIC,263,-0.006449480603615104,-0.03650867331752153,0.02550358965059936
Rework,ridge_single_equal_round,CONDITIONAL_DIAGNOSTIC,263,-0.013544734370674183,-0.05073258069638274,0.02518573764425411
Rework,ridge_single_pieces,CONDITIONAL_DIAGNOSTIC,263,-0.006260029918458359,-0.03632184284541137,0.025658286709318776
