Branch,Variant,NLL,Pieces,Rounds,LogLoss
First pass,group_only_all,11226.342813031235,25068.0,1675,0.44783559969009235
First pass,legacy_1000,11201.928640066306,25068.0,1675,0.44686168182807984
First pass,legacy_5000,11202.06395117417,25068.0,1675,0.4468670795904807
First pass,ridge_expanded_equal_round,11469.376457523302,25068.0,1675,0.45753057513656065
First pass,ridge_expanded_pieces,10946.911811180107,25068.0,1675,0.43668867923967236
First pass,ridge_single_capped,11007.587211350516,25068.0,1675,0.4391091116702775
First pass,ridge_single_equal_round,11481.548411325346,25068.0,1675,0.45801613257241686
First pass,ridge_single_pieces,10947.290555748918,25068.0,1675,0.4367037879267958
Rework,group_only_all,2011.0160915336483,3280.0,301,0.6131146620529415
Rework,legacy_1000,2160.741087778789,3280.0,301,0.6587625267618259
Rework,legacy_5000,2161.1802349885265,3280.0,301,0.6588964131062581
Rework,ridge_expanded_equal_round,2077.950838935154,3280.0,301,0.6335215972363274
Rework,ridge_expanded_pieces,2103.8464847091464,3280.0,301,0.6414166111918129
Rework,ridge_single_capped,2139.586791398931,3280.0,301,0.6523130461582106
Rework,ridge_single_equal_round,2116.3143590429772,3280.0,301,0.6452177923911516
Rework,ridge_single_pieces,2140.208189646245,3280.0,301,0.6525024968433674
