Date,Branch,Attribution,Rounds
2026-08-03,First pass,single,97
2026-08-03,Rework,single,4
2026-08-03,Rework,unknown,24
2026-08-04,First pass,single,151
2026-08-04,First pass,unknown,2
2026-08-04,Rework,single,14
2026-08-04,Rework,unknown,48
2026-08-05,First pass,single,129
2026-08-05,First pass,unknown,1
2026-08-05,Rework,single,9
2026-08-05,Rework,unknown,65
2026-08-06,First pass,single,133
2026-08-06,Rework,single,19
2026-08-06,Rework,unknown,71
2026-08-07,First pass,single,200
2026-08-07,First pass,team,1
2026-08-07,First pass,unknown,5
2026-08-07,Rework,single,39
2026-08-07,Rework,unknown,91
2026-08-08,First pass,single,204
2026-08-08,First pass,team,2
2026-08-08,First pass,unknown,3
2026-08-08,Rework,single,43
2026-08-08,Rework,unknown,102
2026-08-10,First pass,single,278
2026-08-10,First pass,team,3
2026-08-10,First pass,unknown,3
2026-08-10,Rework,single,45
2026-08-10,Rework,unknown,129
2026-08-11,First pass,single,270
2026-08-11,First pass,team,4
2026-08-11,First pass,unknown,10
2026-08-11,Rework,single,46
2026-08-11,Rework,unknown,164
2026-08-12,First pass,single,219
2026-08-12,First pass,team,2
2026-08-12,First pass,unknown,3
2026-08-12,Rework,single,33
2026-08-12,Rework,unknown,168
2026-08-13,First pass,single,277
2026-08-13,First pass,unknown,1
2026-08-13,Rework,single,65
2026-08-13,Rework,team,2
2026-08-13,Rework,unknown,174
2026-08-14,First pass,single,201
2026-08-14,First pass,team,1
2026-08-14,First pass,unknown,2
2026-08-14,Rework,single,42
2026-08-14,Rework,unknown,161
2026-08-18,First pass,single,203
2026-08-18,First pass,team,1
2026-08-18,First pass,unknown,1
2026-08-18,Rework,single,34
2026-08-18,Rework,team,1
2026-08-18,Rework,unknown,151
2026-08-19,First pass,single,229
2026-08-19,First pass,team,3
2026-08-19,First pass,unknown,4
2026-08-19,Rework,single,52
2026-08-19,Rework,unknown,177
2026-08-20,First pass,single,377
2026-08-20,First pass,team,3
2026-08-20,First pass,unknown,8
2026-08-20,Rework,single,55
2026-08-20,Rework,team,2
2026-08-20,Rework,unknown,275
2026-08-21,First pass,single,276
2026-08-21,First pass,team,2
2026-08-21,First pass,unknown,3
2026-08-21,Rework,single,63
2026-08-21,Rework,unknown,239
2026-08-22,First pass,single,245
2026-08-22,First pass,team,4
2026-08-22,First pass,unknown,5
2026-08-22,Rework,single,54
2026-08-22,Rework,unknown,180
2026-08-23,First pass,single,135
2026-08-23,First pass,team,2
2026-08-23,Rework,single,5
2026-08-23,Rework,unknown,33
2026-08-24,First pass,single,343
2026-08-24,First pass,team,3
2026-08-24,First pass,unknown,3
2026-08-24,Rework,single,57
2026-08-24,Rework,unknown,275
2026-08-25,First pass,single,385
2026-08-25,First pass,team,3
2026-08-25,First pass,unknown,6
2026-08-25,Rework,single,65
2026-08-25,Rework,team,2
2026-08-25,Rework,unknown,256
2026-08-26,First pass,single,296
2026-08-26,First pass,team,2
2026-08-26,First pass,unknown,4
2026-08-26,Rework,single,90
