WO,RoundNo,Worker,CurrentHours,ItemNumber,GoodCW,MaxRAFDate
BO26075145,1,E002361,,,,
BO26087039,1,E002339,,,,
BO26087039,2,E002339,,,,
BO26091253,1,E002267,,,,
BO26092046,1,E002339,,,,
BO26092310,1,E002361,,,,
BO26092376,1,E002339,,,,
BO26095653,1,E002339,,,,
BO26095655,1,E002361,,,,
BO26098763,1,E002199,,,,
BO26098763,2,E002199,,,,
BO26101163,1,E002339,,,,
BO26101316,1,E002339,,,,
BO26101316,2,E002339,,,,
BO26101327,1,E002361,,,,
BO26101333,1,E002339,,,,
BO26101414,1,E002339,,,,
BO26105960,1,E002339,,,,
BO26107260,1,E002339,,,,
BO26107260,2,E002339,,,,
BO26107261,1,E002339,,,,
BO26107262,1,E002339,,,,
BO26107264,1,E002339,,,,
BO26107266,1,E002339,,,,
BO26107266,2,E002339,,,,
BO26107577,1,E002320,,,,
BO26108076,1,E002339,,,,
BO26108082,1,E002339,,,,
BO26108134,1,E002339,,,,
BO26108614,1,E002320,,,,
BO26108853,1,E002361,,,,
BO26108853,3,E002361,,,,
BO26108857,1,E002339,,,,
BO26108870,1,E002339,,,,
BO26108901,1,E002339,,,,
BO26108921,1,E002339,,,,
BO26109028,1,E002361,,,,
BO26109040,1,E002339,,,,
BO26109082,1,E002361,,,,
BO26109351,1,E002339,,,,
BO26109351,2,E002339,,,,
BO26109355,1,E002361,,,,
BO26109355,2,E002361,,,,
BO26109420,1,E002361,,,,
BO26109673,1,E002339,,,,
BO26109673,2,E002339,,,,
BO26109697,1,E002339,,,,
BO26111264,1,E002207,,,,
BO26111264,2,E002207,,,,
BO26111345,1,E002339,,,,
BO26111383,1,E002320,,,,
BO26111450,1,E002339,,,,
BO26112104,1,E002339,,,,
BO26112106,1,E002339,,,,
BO26112523,1,E002339,,,,
BO26112524,1,E002339,,,,
BO26112525,1,E002339,,,,
BO26112527,1,E002339,,,,
BO26112530,1,E002361,,,,
BO26112530,2,E002361,,,,
BO26112822,1,E002339,,,,
BO26114095,1,E002320,,,,
BO26114613,1,E002320,,,,
BO26115070,1,E002339,,,,
BO26115076,1,E002339,,,,
BO26115087,1,E002339,,,,
BO26115101,1,E002339,,,,
BO26115123,1,E002339,,,,
BO26115123,2,E002339,,,,
BO26115141,1,E002339,,,,
BO26115159,1,E002361,,,,
BO26115323,1,E002361,,,,
BO26115414,1,E002339,,,,
BO26115669,1,E002361,,,,
BO26116066,1,E002320,,,,
BO26116662,1,E002320,,,,
BO26116662,2,E002320,,,,
BO26116665,1,E002361,,,,
BO26116676,1,E002339,,,,
BO26116818,1,E002361,,,,
BO26116818,2,E002361,,,,
BO26116836,1,E002361,,,,
BO26116846,1,E002361,,,,
BO26116959,1,E002361,,,,
BO26117062,1,E002339,,,,
BO26117079,1,E002320,,,,
BO26117104,1,E002320,,,,
BO26117104,2,E002320,,,,
BO26117128,1,E002320,,,,
BO26117260,1,E002320,,,,
BO26117293,1,E002320,,,,
BO26117293,4,E002320,,,,
BO26117391,1,E002361,,,,
BO26117617,1,E002361,,,,
BO26120352,1,E002361,,,,
BO26120559,1,E002231,,,,
BO26120563,1,E002207,,,,
BO26120661,1,E002361,,,,
BO26120671,1,E002361,,,,
BO26120855,1,E002320,,,,
BO26121203,1,E002361,,,,
BO26121207,1,E002361,,,,
BO26121207,2,E002361,,,,
BO26121340,1,E002267,,,,
BO26121445,1,E002361,,,,
BO26121455,1,E002361,,,,
BO26121583,1,E002320,,,,
BO26121583,2,E002320,,,,
BO26121616,1,E002320,,,,
BO26121628,1,E002320,,,,
BO26121736,1,E002339,,,,
BO26121886,1,E002339,,,,
BO26122186,1,E002320,,,,
BO26122375,1,E002320,,,,
BO26122380,1,E002176,9.714401765699591,2HA16650S024010043Z,10.0,2026-09-11
BO26122490,1,E002361,,,,
BO26122728,2,E001634,,2DB154015225010000Z,30.0,2026-09-09
BO26123156,1,E002361,,,,
BO26123156,2,E002361,,,,
BO26123466,1,E002339,,,,
BO26123466,2,E002339,,,,
BO26123808,1,E002320,,,,
BO26124281,1,E002320,,,,
BO26124438,1,E002339,,,,
BO26124452,1,E002361,,,,
BO26124452,2,E002361,,,,
BO26124460,1,E002339,,,,
BO26124460,2,E002339,,,,
BO26125013,1,E002361,,,,
BO26125579,1,E002320,,,,
BO26125776,1,E002320,,,,
BO26125776,2,E002320,,,,
BO26125797,1,E002320,,,,
BO26126062,1,E002361,,,,
