Branch,Variant,NLL,Pieces,Rounds,LogLoss
First pass,group_only_all,10402.880525737317,19257.0,1281,0.5402129368924192
First pass,legacy_1000,10893.570445576417,19257.0,1281,0.5656940564769392
First pass,legacy_5000,10893.564144521159,19257.0,1281,0.5656937292683781
First pass,ridge_expanded_equal_round,10821.186546421939,19257.0,1281,0.5619352207728068
First pass,ridge_expanded_pieces,10082.307375203913,19257.0,1281,0.5235658397052455
First pass,ridge_single_capped,10337.604702150791,19257.0,1281,0.5368232176429761
First pass,ridge_single_equal_round,10935.21027700999,19257.0,1281,0.5678563783045121
First pass,ridge_single_pieces,10087.78767473467,19257.0,1281,0.5238504271036335
Rework,group_only_all,1711.8521270966933,2847.0,211,0.6012827984182274
Rework,legacy_1000,1810.7539637692112,2847.0,211,0.6360217645834954
Rework,legacy_5000,1811.1690445738925,2847.0,211,0.6361675604404259
Rework,ridge_expanded_equal_round,1681.6681630315525,2847.0,211,0.5906807738080619
Rework,ridge_expanded_pieces,1711.1933607166777,2847.0,211,0.6010514087519064
Rework,ridge_single_capped,1723.1529855214771,2847.0,211,0.6052521902077546
Rework,ridge_single_equal_round,1688.2182652757103,2847.0,211,0.5929814770901687
Rework,ridge_single_pieces,1724.1733401317433,2847.0,211,0.6056105866286419
